Hospital Name,Details Link,Address,City/Area,Description,Contact Info,Photos,Telephone,Email,Street Address
Alexandria Children's Surgery Center,https://healtheg.com/ar/Item/37321/مركز-الأسكندرية-لجراحات-الأطفال-,Al -Thaghr Towers Road Al -Nuzha Airport next to DHL,Alexandria - Alexandria Road - Cairo Agricultural,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,03817580 - 01140225252 - 01281813334,,Al -Thaghr Towers Road Al -Nuzha Airport next to DHL
Alexandria Pediatrics Center,https://healtheg.com/ar/Item/1169/مركز-الإسكندرية-لطب-الأطفال,"National Towers - The last May 14 Bridge, in front of Pharos University in Alexandria, Smouha, Alexandria",Alexandria-Smouha,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,033826995 - 01274480001 - 033819910 - 033818518,,"National Towers - The last May 14 Bridge, in front of Pharos University in Alexandria, Smouha, Alexandria"
Ibrahimiya Center for Physiotherapy,https://healtheg.com/ar/Item/2055/مركز-الابراهيمية-للعلاج-الطبيعى,"3 Al -Nabil Omar Ibrahim St., close to Ramses Toyota, Ibrahimi, Alexandria",Alexandria-Abrahamic,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035921609,,"3 Al -Nabil Omar Ibrahim St., close to Ramses Toyota, Ibrahimi, Alexandria"
Alexandria Center for Oncology,https://healtheg.com/ar/Item/1715/مركز-الاسكندرية-لعلاج-الاورام,"401 Freedom Road, next to the new Khalil Pharmacy, Mustafa Kamel, Alexandria",Alexandria-Mustafa Kamel,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035440166 - 035427987 - 01223116026,,"401 Freedom Road, next to the new Khalil Pharmacy, Mustafa Kamel, Alexandria"
Alexandria toxin Center,https://healtheg.com/ar/Item/2047/مركز-الاسكندرية-للسموم,"College of Medicine, branch from Safia Zaghloul St., inside the University of the Family Hospital, Raml Station, Alexandria",Alexandria-Sand Station,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,034862244,,"College of Medicine, branch from Safia Zaghloul St., inside the University of the Family Hospital, Raml Station, Alexandria"
Alexandria Kidney Center,https://healtheg.com/ar/Item/1755/مركز-الاسكندرية-للكلى,91 Supervision Tower - Ahmed Shawky St.,Alexandria-Mustafa Kamel,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035411785,,91 Supervision Tower - Ahmed Shawky St.
World Dental Center,https://healtheg.com/ar/Item/2006/مركز-الاسنان-العالمى,"The new thirty st., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01005495475 - 01229893275,,"The new thirty st., Al -Haram, Giza"
Medical Supervision Center,https://healtheg.com/ar/Item/1772/مركز-الاشراف-الطبى,"33 St. on the prestige branch from Khaled Bin Al -Walid St., Sidi Bishr, Alexandria",Alexandria-Plut,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,033588401,,Translation Failed
Friends Center,https://healtheg.com/ar/Item/2266/مركز-الاصدقاء,"Suez Channel St. - role 7, the highest Capcino restaurant, Mansoura, Dakahlia",Dakahlia-Mansoura,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01011700233 - 01125520086,,"Suez Channel St. - role 7, the highest Capcino restaurant, Mansoura, Dakahlia"
Luxor Medical Center,https://healtheg.com/ar/Item/2368/مركز-الاقصر-الطبى,"3 San Joseph - former Al -Mahdi St., next to the Saint Joseph Hotel, Luxor, Luxor",Luxor-Luxor,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0952284092 - 0952284091 - 01020047091,,"3 San Joseph - former Al -Mahdi St., next to the Saint Joseph Hotel, Luxor, Luxor"
Al -Aqsa Medical Center,https://healtheg.com/ar/Item/1902/مركز-الاقصى-الطبى,"2 Makhlouf St. branch from Hassan Othman St., Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237717578,,"2 Makhlouf St. branch from Hassan Othman St., Faisal, Giza"
The elixir center for the digestive and liver,https://healtheg.com/ar/Item/1221/مركز-الاكسير-للجهاز-الهضمى-والكبد,"6 Syria Street, Agouza, Agouza neighborhood, Giza, Egypt",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,16617 - 0233457307 - 0233457306,,"6 Syria Street, Agouza, Agouza neighborhood, Giza, Egypt"
Al -Amal Center for Physiotherapy,https://healtheg.com/ar/Item/2027/مركز-الامل-للعلاج-الطبيعى,"El Gomhoria, Zefta, Western",Western-Zefta,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01009642519,,"El Gomhoria, Zefta, Western"
Al -Amal Center for Physiotherapy and Slimming,https://healtheg.com/ar/Item/3272/مركز-الامل-للعلاج-الطبيعى-والتخسيس,"52 St. twentieth, next to the Raslan juice store, Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237247099,,"52 St. twentieth, next to the Raslan juice store, Faisal, Giza"
Al -Amal Industrial Kidney Center,https://healtheg.com/ar/Item/1812/مركز-الامل-للكلى-الصناعية,"9 Al -Hijaz St., close to the South Delta Electricity Distribution Company - Toukh, Toukh, Qaliubiya",Qalubia-Taoukh,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0132479388 - 01289549566 - 01224446888,,"9 Al -Hijaz St., close to the South Delta Electricity Distribution Company - Toukh, Toukh, Qaliubiya"
Al -Amin Center,https://healtheg.com/ar/Item/2196/مركز-الامين,"Ahmed Orabi St., Damanhour, Al -Buhaira",Al-Buhaira-Damanhour,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0453300003,,"Ahmed Orabi St., Damanhour, Al -Buhaira"
The Anglo Center - D Malak Muhareb,https://healtheg.com/ar/Item/1040/مركز-الانجلو---د-ملاك-محارب,"275 Suez Bridge St., the top of the tourist pharmacy, Suez Bridge, Cairo",Cairo-Suez Bridge,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0222418700 - 01220668700 - 01273311005,,"275 Suez Bridge St., the top of the tourist pharmacy, Suez Bridge, Cairo"
Andalusia Center,https://healtheg.com/ar/Item/2012/مركز-الاندلس,"Al -Galaa St., Zagazig, Eastern",Eastern-Zagazig,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0552385211 - 01117227652,,"Al -Galaa St., Zagazig, Eastern"
Andalus Specialist Center,https://healtheg.com/ar/Item/1834/مركز-الاندلس-التخصصى,"St. Central St., in front of Abdel -Rasoul, downtown, Fayoum",Fayoum-Central Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0849203747 - 01005874653,,"St. Central St., in front of Abdel -Rasoul, downtown, Fayoum"
Al -Iman Center for Physiotherapy,https://healtheg.com/ar/Item/2128/مركز-الايمان-للعلاج-الطبيعى,"Abu Bakr Al -Siddiq St., Kafr El -Zayat, Gharbia",Western-disbelief Al-Zayat,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01004087935,,"Abu Bakr Al -Siddiq St., Kafr El -Zayat, Gharbia"
Al Bagour Medical Center,https://healtheg.com/ar/Item/1872/مركز-الباجور-الطبى,"Railway St., Bagour, Menoufia",Menoufia-Bagour,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0483888548,,"Railway St., Bagour, Menoufia"
Al -Bahrawi Center,https://healtheg.com/ar/Item/1934/مركز-البحراوى,"29s Al -Tahrir St., Dokki, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233487674,,"29s Al -Tahrir St., Dokki, Giza"
Al Burj Center for Endoscopy of the Gastroenterology,https://healtheg.com/ar/Item/1718/مركز-البرج-لمناظير-الجهاز-الهضمى,55 Doctors ’Tower - Abdel Moneim Riad St.,Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233032226 - 01116644100,,55 Doctors ’Tower - Abdel Moneim Riad St.
Al Baraka Medical Center,https://healtheg.com/ar/Item/2313/مركز-البركة-الطبى,"7 El Arbaeen St., Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0239804670,,"7 El Arbaeen St., Faisal, Giza"
Al -Bustan Center for Eye Diseases Diagnosis,https://healtheg.com/ar/Item/2092/مركز-البستان-لتشخيص-امراض-العيون,"The Pearl Tower - Gamal Abdel Nasser St., next to Al -Madinah Mall, Obeh, Fayoum",Fayoum-Obsesse,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0846380055 - 01118741117,,"The Pearl Tower - Gamal Abdel Nasser St., next to Al -Madinah Mall, Obeh, Fayoum"
Al -Basma Center,https://healtheg.com/ar/Item/1940/مركز-البسمة,"Secondary School St. - Al Manawat, Tamoh, Giza",Giza-they shattered,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01114131399 - 01142370999,,"Secondary School St. - Al Manawat, Tamoh, Giza"
Basmalah Center,https://healtheg.com/ar/Item/1928/مركز-البسملة,"Marsa Mahmoud St., Mohandessin, Giza",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01227042824,,"Marsa Mahmoud St., Mohandessin, Giza"
Al -Bashayer Center,https://healtheg.com/ar/Item/2250/مركز-البشاير,"4 Mohamed El -Ambaby St., Imbaba, Giza",Giza-Imbaba,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01002215122,,"4 Mohamed El -Ambaby St., Imbaba, Giza"
Tawheed Center,https://healtheg.com/ar/Item/1883/مركز-التوحيد,"Secondary School St. - Al Manawat, Tamoh, Giza",Giza-they shattered,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01228544778 - 01002025290,,"Secondary School St. - Al Manawat, Tamoh, Giza"
Medical Facilitation Center,https://healtheg.com/ar/Item/467/مركز-التيسير-الطبى,"53 Ibn Al -Nafees St., Nasr City, Cairo",Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0223498651 - 0223498628 - 0223498653,,"53 Ibn Al -Nafees St., Nasr City, Cairo"
The medical facilitation center in the tenth district,https://healtheg.com/ar/Item/53805/مركز-التيسير-الطبى-بالحى-العاشر,"2 Mohamed Mahdi Arafa St., Tenth District, Nasr City, Cairo",Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,02 24110591,,"2 Mohamed Mahdi Arafa St., Tenth District, Nasr City, Cairo"
Al -Jama Nayef Center,https://healtheg.com/ar/Item/1055/مركز-الجاما-نايف,"1351 Nile Corniche, inside the Nasser Institute for Research and Treatment, Shubra, Cairo",Cairo-Shubra Egypt,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0224323839,,"1351 Nile Corniche, inside the Nasser Institute for Research and Treatment, Shubra, Cairo"
Al -Galaa Center for Physiotherapy,https://healtheg.com/ar/Item/1878/مركز-الجلاء-للعلاج-الطبيعى,"61 El Galaa St., Victoria, Alexandria",Alexandria-Victoria,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035292162,,"61 El Galaa St., Victoria, Alexandria"
Jalal Center,https://healtheg.com/ar/Item/2357/مركز-الجلال,"Iron Factory St., Abu Zaabal, Qaliubiya",Qaliubiya-Abu Zaabal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0244671292,,"Iron Factory St., Abu Zaabal, Qaliubiya"
Association Center,https://healtheg.com/ar/Item/2284/مركز-الجمعيى,"Othman bin Affan St. - Land of Edmun, in front of the governorate building, Damanhour, Beheira",Al-Buhaira-Damanhour,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0453344689,,"Othman bin Affan St. - Land of Edmun, in front of the governorate building, Damanhour, Beheira"
Al -Haramain Medical Center,https://healtheg.com/ar/Item/1958/مركز-الحرمين-الطبى,"Ali bin Abi Talib, Kafr Shukr, Qaliubiya",Qaliubiya-Kafr thanks,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01014398972,,"Ali bin Abi Talib, Kafr Shukr, Qaliubiya"
Al -Haramain Center for Dentistry,https://healtheg.com/ar/Item/1956/مركز-الحرمين-لطب-الاسنان,"15 b housing of youth samples -, 6th of October, Giza",Giza-October,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0238307612 - 01141962430 - 01114144672,,"15 b housing of youth samples -, 6th of October, Giza"
Freedom Center,https://healtheg.com/ar/Item/2297/مركز-الحرية,"St. Al Masaken, Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01090701175,,"St. Al Masaken, Faisal, Giza"
Freedom Center for Physiotherapy,https://healtheg.com/ar/Item/1970/مركز-الحرية-للعلاج-الطبيعى,"155 St. Al -Shamrini, Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01116880528,,"155 St. Al -Shamrini, Al -Haram, Giza"
Al -Hussam Center,https://healtheg.com/ar/Item/2248/مركز-الحسام,"Ibrahim Hassan St., Sars Al -Lyan, Menoufia",Menoufia-Sardness of Lyan,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01002950126,,"Ibrahim Hassan St., Sars Al -Lyan, Menoufia"
Al -Hassan Al -Ashouqi Eye Center,https://healtheg.com/ar/Item/1717/مركز-الحسن-التشخيصى-للعيون,"12 Tahrir Role 4, Higher Pharmacy d.Mai, Dokki, Dokki Department, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233363782 - 0100 522 6229,,"12 Tahrir Role 4, Higher Pharmacy d.Mai, Dokki, Dokki Department, Giza"
Al -Hussein Center for Speech and Rehabilitation of Disability,https://healtheg.com/ar/Item/3295/مركز-الحسين-للتخاطب-وتأهيل-الاعاقة,"Al -Shennawi, next to the Nour Al -Hidaya Mosque, Downtown, Fayoum",Fayoum-Central Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0846300002 - 01288187082,,"Al -Shennawi, next to the Nour Al -Hidaya Mosque, Downtown, Fayoum"
Wisdom Center,https://healtheg.com/ar/Item/1846/مركز-الحكمة,"33 El Galaa St., Shebin El -Kom, Menoufia",Menoufia-Shabin Al-Kom,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0482327235,,"33 El Galaa St., Shebin El -Kom, Menoufia"
Life center,https://healtheg.com/ar/Item/2164/مركز-الحياة,"Albosa St., Aga, Dakahlia",Dakahlia-Jaja,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0506455692,,"Albosa St., Aga, Dakahlia"
Medical Life Center,https://healtheg.com/ar/Item/1910/مركز-الحياة-الطبى,"1 The first of Al -Zuhur St., the highest pharmacy of Dr. Abdel Salam Khater, the new Hadra, Alexandria",Alexandria-New presence,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,033810848,,"1 The first of Al -Zuhur St., the highest pharmacy of Dr. Abdel Salam Khater, the new Hadra, Alexandria"
Specialized medical life center,https://healtheg.com/ar/Item/1854/مركز-الحياة-الطبى-التخصصى,"Ahmed Orabi St., in front of the Family Court - Bandar Kafr El -Dawar, Kafr El -Dawar, Al -Buhaira",Lake-disbelief dizziness,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0452244444 - 01223431178,,"Ahmed Orabi St., in front of the Family Court - Bandar Kafr El -Dawar, Kafr El -Dawar, Al -Buhaira"
Al -Hayat Center for Civilization,https://healtheg.com/ar/Item/2191/مركز-الحياة-للحضانات,"Al -Thawra, Sherbin, Dakahlia",Dakahlia-Drubin,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0507942070,,"Al -Thawra, Sherbin, Dakahlia"
Al -Hayat Center for Physiotherapy,https://healtheg.com/ar/Item/1738/مركز-الحياة-للعلاج-الطبيعى,"The company's global horoscope - the central axis - the second district - the 3 -apartment floor, the sixth of October, Giza",Giza-October,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0238355518,,"The company's global horoscope - the central axis - the second district - the 3 -apartment floor, the sixth of October, Giza"
The Center for Goodness,https://healtheg.com/ar/Item/2374/مركز-الخير,"5 Farouk Najm St., Dokki, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237489216 - 01010050336,,"5 Farouk Najm St., Dokki, Giza"
Al -Durra Center for Physiotherapy,https://healtheg.com/ar/Item/2306/مركز-الدرة-للعلاج-الطبيعى,Al -Baraka Tower - Muharram Beck St.,Alexandria-Muharram Bey,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,033938575 - 01122317104,,Al -Baraka Tower - Muharram Beck St.
Dokki Specialist Center,https://healtheg.com/ar/Item/2034/مركز-الدقى-التخصصي,"6 Tahrir St., in front of the Research Metro Station, Dokki, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0106 553 3651,,"6 Tahrir St., in front of the Research Metro Station, Dokki, Giza"
Delta Specialist Center,https://healtheg.com/ar/Item/1711/مركز-الدلتا-التخصصى,"Ahmed Maher St. Al -Amin St. - Mohandessin Tower, in front of the Studio Mounir, Shebin El -Koum, Menoufia",Menoufia-Shabin Al-Kom,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0482237788,,"Ahmed Maher St. Al -Amin St. - Mohandessin Tower, in front of the Studio Mounir, Shebin El -Koum, Menoufia"
Deeb Center for Physiotherapy,https://healtheg.com/ar/Item/1971/مركز-الديب-للعلاج-الطبيعى,"6 Eid Al -Araj, branch from Al -Hasaa Bank, Toukh, Qaliubiya",Qalubia-Taoukh,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01223741384 - 01142232780,,"6 Eid Al -Araj, branch from Al -Hasaa Bank, Toukh, Qaliubiya"
Al -Raed Center for Physiotherapy,https://healtheg.com/ar/Item/1763/مركز-الرائد-للعلاج-الطبيعى,"1 Abdel -Atti Abu Zahra, the lawyer, branched from Kafr Tahrams St., in front of the fruits markets, Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01008440424,,"1 Abdel -Atti Abu Zahra, the lawyer, branched from Kafr Tahrams St., in front of the fruits markets, Faisal, Giza"
Al -Rashed Center for Ophthalmology,https://healtheg.com/ar/Item/3301/مركز-الراشد-لطب-وجراحة-العيون,"4 Mahmoud Zaki St., branched from the Morsal Seal St., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0239767583,,"4 Mahmoud Zaki St., branched from the Morsal Seal St., Al -Haram, Giza"
Al -Rathi Center,https://healtheg.com/ar/Item/1758/مركز-الراضى,"Tower 5 - Al -Hosary Square - American Complex, in front of the Al -Hosary Mosque, Sixth of October, Giza",Giza-October,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01222229412,,"Tower 5 - Al -Hosary Square - American Complex, in front of the Al -Hosary Mosque, Sixth of October, Giza"
Veterinary Shepherd Center,https://healtheg.com/ar/Item/2356/مركز-الراعى-البيطرى,"Al -Mahatta St., Abu Zaabal, Qaliubiya",Qaliubiya-Abu Zaabal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01000635672,,"Al -Mahatta St., Abu Zaabal, Qaliubiya"
Mercy Center,https://healtheg.com/ar/Item/2107/مركز-الرحمة,"Mustafa Circassion St., Bulaq Dakrur, Giza",Giza-Bulaq Dakrur,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01006819683,,"Mustafa Circassion St., Bulaq Dakrur, Giza"
Mercy Specialist Center,https://healtheg.com/ar/Item/2194/مركز-الرحمة-التخصصى,"Mohamed Farid St., Belqas, Dakahlia",Dakahlia-Belqas,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01003071325,,"Mohamed Farid St., Belqas, Dakahlia"
Al -Rahma Medical Center,https://healtheg.com/ar/Item/2320/مركز-الرحمة-الطبى,"Al -Taraa Al -Nasrani St., Shubra Al -Khaimah, Qaliubiya",Qaliubiya-Shubra Al-Khaimah,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0246082284,,"Al -Taraa Al -Nasrani St., Shubra Al -Khaimah, Qaliubiya"
Mercy Center for Physiotherapy,https://healtheg.com/ar/Item/2076/مركز-الرحمة-للعلاج-الطبيعى,"Shaheen St. - Dakados, next to Mit Ghamr Central Hospital, Mit Ghamr, Dakahlia",Dakahlia-Matt Ghamr,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0506905438 - 01225897151,,"Shaheen St. - Dakados, next to Mit Ghamr Central Hospital, Mit Ghamr, Dakahlia"
Rahman Center,https://healtheg.com/ar/Item/2088/مركز-الرحمن,"1 Ahmed Orabi St., Shubra Al -Khaimah, Qaliubiya",Qaliubiya-Shubra Al-Khaimah,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01064789380,,"1 Ahmed Orabi St., Shubra Al -Khaimah, Qaliubiya"
Rahman Specialist Center,https://healtheg.com/ar/Item/2276/مركز-الرحمن-التخصصى,"5 Mansheya St., Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237245370,,"5 Mansheya St., Faisal, Giza"
Al -Rawda Center for Physiotherapy and Rehabilitation,https://healtheg.com/ar/Item/1108/مركز-الروضة-للعلاج-الطبيعى-والتأهيل,"5 St. 304, in front of the Modern Academy in Maadi, Maadi, Cairo",Cairo-Maadi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0225197680 - 01012072288,,"5 St. 304, in front of the Modern Academy in Maadi, Maadi, Cairo"
Romanian Center for Physiotherapy,https://healtheg.com/ar/Item/1953/مركز-الرومانى-للعلاج-الطبيعى,"Al -Thawra St., branch from the thirtieth St., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0235642046 - 01221368755,,"Al -Thawra St., branch from the thirtieth St., Al -Haram, Giza"
Leadership Center,https://healtheg.com/ar/Item/2237/مركز-الريادة,"Ramses St., Etay Al -Baroud, Lake",Lake-Itay gunpowder,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0453431065,,"Ramses St., Etay Al -Baroud, Lake"
Leadership Center for Fertility,https://healtheg.com/ar/Item/1700/مركز-الريادة-للخصوبة,"Al -Habrouj Building - Al -Razbad St., in front of the Mubarak Complex, Damanhour, Al -Buhaira",Al-Buhaira-Damanhour,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0453291930 - 01004715017,,"Al -Habrouj Building - Al -Razbad St., in front of the Mubarak Complex, Damanhour, Al -Buhaira"
Rimas Center,https://healtheg.com/ar/Item/2379/مركز-الريماس,"156 D, the first gate, the pyramid, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01142050865,,"156 D, the first gate, the pyramid, Giza"
Zambly Eye Center,https://healtheg.com/ar/Item/1801/مركز-الزمبيلى-للعيون,"The Nile Corniche, Suzan Mubarak Square, next to the Cancer Institute, Downtown, Minya",Minya-Central Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0862349664,,"The Nile Corniche, Suzan Mubarak Square, next to the Cancer Institute, Downtown, Minya"
Al -Zahraa Center,https://healtheg.com/ar/Item/1946/مركز-الزهراء,"Officers Buildings - Selim Infection, Pyramid, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0235632548,,"Officers Buildings - Selim Infection, Pyramid, Giza"
Al -Zahra Medical Center,https://healtheg.com/ar/Item/674/مركز-الزهراء-الطبى,"2 Mohamed Anwar Issa St. - Al -Falaa, Al -Marj, Cairo",Cairo-Al-Marj,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01001321275,,"2 Mohamed Anwar Issa St. - Al -Falaa, Al -Marj, Cairo"
Peace Center,https://healtheg.com/ar/Item/2090/مركز-السلام,"230 Ahmed Orabi St., Shubra Al -Khaimah, Qaliubiya",Qaliubiya-Shubra Al-Khaimah,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0242204712,,"230 Ahmed Orabi St., Shubra Al -Khaimah, Qaliubiya"
Al Salam Medical Center,https://healtheg.com/ar/Item/1826/مركز-السلام-الطبى,"Old greene, Al -Qanater Al -Khairiya, Qaliubiya",Qaliubiya-Al-Qanatir al-Khairiya,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0242184837,,"Old greene, Al -Qanater Al -Khairiya, Qaliubiya"
Peace Specialist Medical Center,https://healtheg.com/ar/Item/1720/مركز-السلام-الطبى-التخصصى,"39 Sudan St., within the Islamic Vocational Group, Dokki, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,02 37498914,,"39 Sudan St., within the Islamic Vocational Group, Dokki, Giza"
Peace Center for Dental,https://healtheg.com/ar/Item/2091/مركز-السلام-للاسنان,"1 El Safty St., Shubra Al -Khaimah, Qaliubiya",Qaliubiya-Shubra Al-Khaimah,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0246084725,,"1 El Safty St., Shubra Al -Khaimah, Qaliubiya"
Al Salam Center for Physiotherapy,https://healtheg.com/ar/Item/2172/مركز-السلام-للعلاج-الطبيعى,"Al -Tahrir St., Kafr Saqr, Sharqia",Eastern-Kafr Saqr,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01005897850,,"Al -Tahrir St., Kafr Saqr, Sharqia"
Medical Safety Center,https://healtheg.com/ar/Item/1215/مركز-السلامة-الطبى,"20 Mohamed Farid St., in front of Al -Nasr Experimental School, 6th of October, Giza",Giza-October,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01005145710 - 0238357021,,"20 Mohamed Farid St., in front of Al -Nasr Experimental School, 6th of October, Giza"
Sulaymaniyah Center,https://healtheg.com/ar/Item/2020/مركز-السليمانية,"Tahrir Square, Zagazig, Eastern",Eastern-Zagazig,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01000252927,,"Tahrir Square, Zagazig, Eastern"
Al -Samah Center,https://healtheg.com/ar/Item/2309/مركز-السماح,"1 Sweilem St., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01125616203,,"1 Sweilem St., Al -Haram, Giza"
Al Sharqawi Medical Center,https://healtheg.com/ar/Item/1903/مركز-الشرقاوى-الطبى,"14 Mohamed Hassanein Haikal St., Mandara Maritime, Alexandria",Alexandria-Mandara Bahri,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035573150,,"14 Mohamed Hassanein Haikal St., Mandara Maritime, Alexandria"
Eastern Center for Physiotherapy,https://healtheg.com/ar/Item/1731/مركز-الشرقية-للعلاج-الطبيعى,"3 Villa Al -Husseini - Othman Bin Affan St., Zagazig, Eastern",Eastern-Zagazig,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0552303019,,"3 Villa Al -Husseini - Othman Bin Affan St., Zagazig, Eastern"
Eastern Eyes Center,https://healtheg.com/ar/Item/1729/مركز-الشرقية-للعيون,"15 Imam St., on a branch of Al -Fath St., next to the Eastern Stadium, Zagazig, Sharqia",Eastern-Zagazig,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0552385888,,"15 Imam St., on a branch of Al -Fath St., next to the Eastern Stadium, Zagazig, Sharqia"
Sunrise Center,https://healtheg.com/ar/Item/1765/مركز-الشروق,"4 St. 20, Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0235857507,,"4 St. 20, Faisal, Giza"
Al Shorouk Medical Center for Children,https://healtheg.com/ar/Item/2099/مركز-الشروق-الطبى-للاطفال,"University Villas - National Square, in front of Moamen Restaurant, Zagazig, Eastern",Eastern-Zagazig,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0552323994,,"University Villas - National Square, in front of Moamen Restaurant, Zagazig, Eastern"
Sunrise Center for Physiotherapy,https://healtheg.com/ar/Item/2031/مركز-الشروق-للعلاج-الطبيعى,"Mahmoud Al -Hefni St., Mit Ghamr, Dakahlia",Dakahlia-Matt Ghamr,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0506921444,,"Mahmoud Al -Hefni St., Mit Ghamr, Dakahlia"
